Noise Rate,Model,mean_recall,std_recall,Variant,all_zero_floor,CV
0.0,NN,0.5713213213213213,0.07667808146286315,1_original_all6_std,,
0.0,SVM,0.6366366366366366,0.11892801857986646,1_original_all6_std,,
0.1,NN,0.5375375375375375,0.0961758302842841,1_original_all6_std,,
0.1,SVM,0.5983483483483484,0.15281936776655627,1_original_all6_std,,
0.25,NN,0.41816816816816815,0.12975527359464128,1_original_all6_std,,
0.25,SVM,0.5097597597597597,0.1701109094246723,1_original_all6_std,,
0.4,NN,0.36186186186186187,0.14402209547707331,1_original_all6_std,,
0.4,SVM,0.4241741741741742,0.1991870635787071,1_original_all6_std,,
0.0,NN,0.5423423423423424,0.03241991750530917,2_rus_excluded_std,,
0.0,SVM,0.6126126126126126,0.11554734539081675,2_rus_excluded_std,,
0.1,NN,0.5045045045045045,0.058123819371909656,2_rus_excluded_std,,
0.1,SVM,0.5621621621621622,0.13918117123178866,2_rus_excluded_std,,
0.25,NN,0.3720720720720721,0.07147841084741133,2_rus_excluded_std,,
0.25,SVM,0.4693693693693694,0.15471514021727248,2_rus_excluded_std,,
0.4,NN,0.30720720720720723,0.059367250368888624,2_rus_excluded_std,,
0.4,SVM,0.372972972972973,0.17301050643831065,2_rus_excluded_std,,
0.0,NN,0.5423423423423424,0.03241991750530917,3_rus_excluded_CV,False,0.059777588755636504
0.0,SVM,0.6126126126126126,0.11554734539081675,3_rus_excluded_CV,False,0.18861404909383322
0.1,NN,0.5045045045045045,0.058123819371909656,3_rus_excluded_CV,False,0.11520971339789236
0.1,SVM,0.5621621621621622,0.13918117123178866,3_rus_excluded_CV,False,0.2475818911334702
0.25,NN,0.3720720720720721,0.07147841084741133,3_rus_excluded_CV,False,0.19210904610321203
0.25,SVM,0.4693693693693694,0.15471514021727248,3_rus_excluded_CV,False,0.3296234273343041
0.4,NN,0.30720720720720723,0.059367250368888624,3_rus_excluded_CV,False,0.19324823433861105
0.4,SVM,0.372972972972973,0.17301050643831065,3_rus_excluded_CV,False,0.4638687491461952
