Noise Rate,Model,mean_recall,std_recall,all_zero_floor,CV
0.0,NN,0.9788934764657308,0.0022261955801492514,False,0.00227419595050002
0.0,SVM,0.9674649050371593,0.017574225503021883,False,0.018165233086513743
0.1,NN,0.913195706028076,0.019502926465308983,False,0.021356787309191935
0.1,SVM,0.7429232039636664,0.14835791672446744,False,0.1996948216625134
0.25,NN,0.7767464905037159,0.012985461169937382,False,0.016717759692118313
0.25,SVM,0.6114285714285714,0.18877269674029937,False,0.3087403918649756
0.4,NN,0.6159867877786953,0.06033858068747551,False,0.09795434234078615
0.4,SVM,0.5132617671345995,0.17460308656410545,False,0.34018330946188896
