Noise Rate,Model,Balancing,Accuracy,Macro F1,Weighted F1,Target Recall,Target Precision
0.0,SVM,None,0.9448932487016733,0.7526936962838139,0.9417172409151171,0.44594594594594594,0.7443609022556391
0.0,NN,None,0.9424408540103866,0.7781829858783104,0.9422541955749207,0.545045045045045,0.7469135802469136
0.0,SVM,ROS,0.9156087709174842,0.725518824676378,0.922315661662439,0.6441441441441441,0.48639455782312924
0.0,NN,ROS,0.9431621465666474,0.7637359122287259,0.9426373873479333,0.5675675675675675,0.6057692307692307
0.0,SVM,RUS,0.8088574725908828,0.5955921290410293,0.8426401697692668,0.7567567567567568,0.27450980392156865
0.0,NN,RUS,0.790536641661858,0.5679768246030409,0.8274568213644,0.7162162162162162,0.250788643533123
0.0,SVM,SMOTE,0.9288805539526832,0.7463591273538693,0.9326619575750077,0.6891891891891891,0.5032894736842105
0.0,NN,SMOTE,0.9399884593190998,0.7504096305115678,0.9397101232790196,0.536036036036036,0.5833333333333334
0.0,SVM,ADASYN,0.9353721869590306,0.7622518542482385,0.9370623311658982,0.7342342342342343,0.5292207792207793
0.0,NN,ADASYN,0.9365262550490479,0.7530523944573998,0.9348412608830433,0.49099099099099097,0.7465753424657534
0.0,SVM,Borderline-SMOTE,0.9405654933641084,0.7656410189452183,0.9403341135843617,0.5495495495495496,0.6559139784946236
0.0,NN,Borderline-SMOTE,0.9474899019042123,0.7869774234020611,0.9468677445925391,0.5720720720720721,0.7134831460674157
0.1,SVM,None,0.9427293710328909,0.7340771496101409,0.9386769384727086,0.36936936936936937,0.8118811881188119
0.1,NN,None,0.9441719561454126,0.789990730243888,0.9435838452564728,0.5855855855855856,0.7647058823529411
0.1,SVM,ROS,0.9118580496249279,0.7232500541549785,0.9189062238246865,0.6306306306306306,0.498220640569395
0.1,NN,ROS,0.9389786497403346,0.7468753333810699,0.9373421644371543,0.4954954954954955,0.6470588235294118
0.1,SVM,RUS,0.7984708597807271,0.5785753333723616,0.835330133998738,0.7792792792792793,0.25667655786350146
0.1,NN,RUS,0.7647143681477208,0.5369686303213524,0.8085135807187206,0.7027027027027027,0.21940928270042195
0.1,SVM,SMOTE,0.9275822273514137,0.7463184206369656,0.9315423198809781,0.6486486486486487,0.5161290322580645
0.1,NN,SMOTE,0.9402769763416041,0.7617715452495903,0.940215803694931,0.536036036036036,0.6467391304347826
0.1,SVM,ADASYN,0.9326312752452395,0.7545725413876818,0.9344887422114796,0.6981981981981982,0.5236486486486487
0.1,NN,ADASYN,0.9405654933641084,0.7462884053627636,0.9389795274682035,0.4369369369369369,0.7132352941176471
0.1,SVM,Borderline-SMOTE,0.9385458742065782,0.7449337654930107,0.9375563161014503,0.46396396396396394,0.6688311688311688
0.1,NN,Borderline-SMOTE,0.943594922100404,0.7544842633747719,0.9415609601892192,0.46846846846846846,0.6933333333333334
0.25,SVM,None,0.9411425274091172,0.7013734781499776,0.9353634857911989,0.2702702702702703,0.8450704225352113
0.25,NN,None,0.938401615695326,0.7480990880107797,0.9371280274610736,0.45495495495495497,0.7318840579710145
0.25,SVM,ROS,0.9083958453548759,0.6946239904378885,0.9151213091847442,0.5135135135135135,0.46153846153846156
0.25,NN,ROS,0.9350836699365263,0.7276241617307897,0.9329129300845217,0.42342342342342343,0.6573426573426573
0.25,SVM,RUS,0.7951529140219273,0.5675687085331212,0.8330915203989631,0.7117117117117117,0.2368815592203898
0.25,NN,RUS,0.7543277553375649,0.5223385443110931,0.8012307570249038,0.6486486486486487,0.20224719101123595
0.25,SVM,SMOTE,0.9244085401038661,0.7292855277625314,0.9281735901423831,0.5900900900900901,0.5038461538461538
0.25,NN,SMOTE,0.9311886901327179,0.681131413104988,0.9258721958148797,0.27927927927927926,0.6813186813186813
0.25,SVM,ADASYN,0.9316214656664743,0.7400551720310019,0.9334172059493635,0.6261261261261262,0.5018050541516246
0.25,NN,ADASYN,0.9371032890940566,0.708712920165571,0.933494360168127,0.32432432432432434,0.6728971962616822
0.25,SVM,Borderline-SMOTE,0.9355164454702828,0.7089731089041061,0.9331653633252736,0.34684684684684686,0.6209677419354839
0.25,NN,Borderline-SMOTE,0.9352279284477785,0.7151184811567418,0.9322109969274511,0.3783783783783784,0.6461538461538462
0.4,SVM,None,0.9355164454702828,0.6389300983938538,0.9266308089532069,0.14864864864864866,0.717391304347826
0.4,NN,None,0.933929601846509,0.6831574460608465,0.9292843539057746,0.24324324324324326,0.8307692307692308
0.4,SVM,ROS,0.9062319676860935,0.6824743078910828,0.9127553947416052,0.42792792792792794,0.4846938775510204
0.4,NN,ROS,0.9350836699365263,0.7101338022373369,0.932261003905224,0.35585585585585583,0.632
0.4,SVM,RUS,0.7749567224466244,0.5437625034431853,0.8177254630304426,0.6801801801801802,0.2105997210599721
0.4,NN,RUS,0.7246105020196192,0.49154298189168005,0.7787145038371124,0.6351351351351351,0.1688622754491018
0.4,SVM,SMOTE,0.9249855741488748,0.719604032822982,0.9274884081056333,0.49099099099099097,0.5317073170731708
0.4,NN,SMOTE,0.9274379688401616,0.681281460851919,0.9249218293752502,0.28378378378378377,0.6176470588235294
0.4,SVM,ADASYN,0.9317657241777265,0.7370448144901646,0.932658326354254,0.5585585585585585,0.5299145299145299
0.4,NN,ADASYN,0.933064050778996,0.6882946006200314,0.9287636092524547,0.2702702702702703,0.7058823529411765
0.4,SVM,Borderline-SMOTE,0.9336410848240047,0.6771379278407194,0.9295050377185975,0.23873873873873874,0.6625
0.4,NN,Borderline-SMOTE,0.9346508944027697,0.7207029716298915,0.932926327773458,0.38288288288288286,0.6589147286821705
